DSM AB,Population,Stock,PpD,Stock change,Inflow,Outflow
1600,4084715.1251066555,0.0,4.707304250909189,,,
1601,4110000.0000000005,0.0,4.707304250909044,,,
1602,4135284.8748933454,0.0,4.707304250908889,,,
1603,4162227.312340017,0.0,4.707304250908719,,,
1604,4190827.3123400174,0.0,4.707304250908536,,,
1605,4221084.874893345,0.0,4.7073042509083365,,,
1606,4253000.0,0.0,4.7073042509081215,,,
1607,4286572.687659984,0.0,4.707304250907887,,,
1608,4321802.937873295,0.0,4.707304250907634,,,
1609,4357833.188086607,0.0,4.707304250907359,,,
1610,4389518.062979951,0.0,4.70730425090706,,,
1611,4416000.0,0.0,4.707304250906737,,,
1612,4437278.999146756,0.0,4.707304250906386,,,
1613,4453355.060420216,0.0,4.707304250906007,,,
1614,4465813.559140349,0.0,4.707304250905595,,,
1615,4484166.747226955,0.0,4.707304250905147,,,
1616,4510000.0,0.0,4.707304250904663,,,
1617,4543313.317459486,0.0,4.707304250904137,,,
1618,4584106.699605409,0.0,4.707304250903568,,,
1619,4630045.4570713,0.0,4.707304250902951,,,
1620,4667121.453658322,0.0,4.707304250902281,,,
1621,4693000.0,0.0,4.707304250901554,,,
1622,4707681.096096337,0.0,4.707304250900767,,,
1623,4711164.741947328,0.0,4.707304250899913,,,
1624,4706073.698431848,0.0,4.7073042508989875,,,
1625,4708144.530823116,0.0,4.707304250897984,,,
1626,4720000.0,0.0,4.707304250896896,,,
1627,4741640.105962503,0.0,4.707304250895716,,,
1628,4773064.848710621,0.0,4.7073042508944365,,,
1629,4812952.35233761,0.0,4.70730425089305,,,
1630,4853371.361402987,0.0,4.7073042508915455,,,
1631,4893000.0,0.0,4.707304250889915,,,
1632,4931838.268128657,0.0,4.707304250888146,,,
1633,4969886.16578895,0.0,4.70730425088623,,,
1634,5006292.187542498,0.0,4.707304250884151,,,
1635,5035947.300758978,0.0,4.707304250881897,,,
1636,5058000.0,0.0,4.707304250879453,,,
1637,5072450.285265569,0.0,4.7073042508768035,,,
1638,5079298.156555679,0.0,4.70730425087393,,,
1639,5080054.522407404,0.0,4.707304250870815,,,
1640,5083784.834043155,0.0,4.707304250867438,,,
1641,5092000.0,0.0,4.707304250863775,,,
1642,5104700.020277941,0.0,4.707304250859804,,,
1643,5121884.894876973,0.0,4.707304250855499,,,
1644,5142620.678013075,0.0,4.70730425085083,,,
1645,5161303.694982095,0.0,4.707304250845768,,,
1646,5177000.0,0.0,4.70730425084028,,,
1647,5189709.593066797,0.0,4.707304250834329,,,
1648,5199432.474182479,0.0,4.707304250827876,,,
1649,5206861.4095141385,0.0,4.70730425082088,,,
1650,5216152.996064285,0.0,4.707304250813294,,,
1651,5228000.0,0.0,4.70730425080507,,,
1652,5242402.421321291,0.0,4.707304250796152,,,
1653,5259360.26002815,0.0,4.707304250786482,,,
1654,5277090.864902095,0.0,4.707304250775997,,,
1655,5284898.328632209,0.0,4.707304250764629,,,
1656,5281000.0,0.0,4.707304250752303,,,
1657,5265395.879005472,0.0,4.707304250738939,,,
1658,5238085.965648621,0.0,4.707304250724447,,,
1659,5201273.401073286,0.0,4.707304250708735,,,
1660,5168177.032142469,0.0,4.707304250691699,,,
1661,5141000.0,0.0,4.707304250673227,,,
1662,5119742.304645882,0.0,4.707304250653198,,,
1663,5104403.946080113,0.0,4.707304250631482,,,
1664,5093908.728658179,0.0,4.707304250607936,,,
1665,5081799.478512982,0.0,4.707304250582405,,,
1666,5067000.0,0.0,4.707304250554723,,,
1667,5049510.29311924,0.0,4.707304250524708,,,
1668,5029330.357870695,0.0,4.7073042504921645,,,
1669,5007674.226977635,0.0,4.707304250456877,,,
1670,4991826.096779651,0.0,4.707304250418617,,,
1671,4983000.0,0.0,4.707304250377133,,,
1672,4981195.936638689,0.0,4.707304250332152,,,
1673,4986413.906695712,0.0,4.707304250283381,,,
1674,4997005.909476003,0.0,4.7073042502305,,,
1675,5003083.940809124,0.0,4.707304250173163,,,
1676,5003000.0,0.0,4.707304250110994,,,
1677,4996754.087048637,0.0,4.707304250043586,,,
1678,4984346.201955027,0.0,4.707304249970497,,,
1679,4966570.316166347,0.0,4.7073042498912505,,,
1680,4948190.258365615,0.0,4.707304249805325,,,
1681,4930000.0,0.0,4.707304249712157,,,
1682,4911999.541069505,0.0,4.7073042496111395,,,
1683,4894188.881574126,0.0,4.707304249501608,,,
1684,4877492.193525918,0.0,4.707304249382847,,,
1685,4867454.5089971945,0.0,4.707304249254078,,,
1686,4865000.0,0.0,4.707304249114458,,,
1687,4870128.666534343,0.0,4.707304248963072,,,
1688,4882840.508600216,0.0,4.707304248798928,,,
1689,4901716.522678143,0.0,4.707304248620952,,,
1690,4918242.687651233,0.0,4.707304248427978,,,
1691,4931000.0,0.0,4.707304248218742,,,
1692,4939988.45972445,0.0,4.707304247991873,,,
1693,4945208.066824576,0.0,4.707304247745887,,,
1694,4947608.670405221,0.0,4.70730424747917,,,
1695,4952889.365095419,0.0,4.707304247189978,,,
1696,4962000.0,0.0,4.707304246876416,,,
1697,4974940.575118973,0.0,4.707304246536429,,,
1698,4991711.09045233,0.0,4.707304246167792,,,
1699,5012031.454890528,0.0,4.707304245768089,,,
1700,5034221.121776269,0.0,4.707304245334704,,,
1701,5058000.0,0.0,4.707304244864797,,,
1702,5083368.089561727,0.0,4.707304244355291,,,
1703,5110325.390461443,0.0,4.707304243802849,,,
1704,5138122.60025161,0.0,4.707304243203852,,,
1705,5162263.904246978,0.0,4.707304242554378,,,
1706,5182000.0,0.0,4.7073042418501725,,,
