DSM MFH,Population,Stock,PpD,Stock change,Inflow,Outflow
1600,4084715.1251066555,277498.4631709094,4.707304250909189,,,
1601,4110000.0000000005,275876.2305312904,4.707304250909044,,,
1602,4135284.8748933454,274264.23648409534,4.707304250908889,,,
1603,4162227.312340017,272662.47923388606,4.707304250908719,,,
1604,4190827.3123400174,271070.9570649758,4.707304250908536,,,
1605,4221084.874893345,269489.6683421265,4.7073042509083365,,,
1606,4253000.0,267918.6115112854,4.7073042509081215,,,
1607,4286572.687659984,266357.7851004518,4.707304250907887,,,
1608,4321802.937873295,264807.18772057205,4.707304250907634,,,
1609,4357833.188086607,263266.81806653994,4.707304250907359,,,
1610,4389518.062979951,261736.67491829876,4.70730425090706,,,
1611,4416000.0,260216.757141984,4.707304250906737,,,
1612,4437278.999146756,258707.0636912246,4.707304250906386,,,
1613,4453355.060420216,257207.59360847328,4.707304250906007,,,
1614,4465813.559140349,255718.34602648087,4.707304250905595,,,
1615,4484166.747226955,254239.32016986833,4.707304250905147,,,
1616,4510000.0,252770.51535678262,4.707304250904663,,,
1617,4543313.317459486,251311.9310006966,4.707304250904137,,,
1618,4584106.699605409,249863.56661228792,4.707304250903568,,,
1619,4630045.4570713,248425.42180147843,4.707304250902951,,,
1620,4667121.453658322,246997.49627955153,4.707304250902281,,,
1621,4693000.0,245579.7898614447,4.707304250901554,,,
1622,4707681.096096337,244172.3024681399,4.707304250900767,,,
1623,4711164.741947328,242775.03412919916,4.707304250899913,,,
1624,4706073.698431848,241387.98498546466,4.7073042508989875,,,
1625,4708144.530823116,240011.1552918661,4.707304250897984,,,
1626,4720000.0,238644.54542042396,4.707304250896896,,,
1627,4741640.105962503,237288.15586337433,4.707304250895716,,,
1628,4773064.848710621,235941.98723647793,4.7073042508944365,,,
1629,4812952.35233761,234606.04028249596,4.70730425089305,,,
1630,4853371.361402987,233280.31587482482,4.7073042508915455,,,
1631,4893000.0,231964.81502133925,4.707304250889915,,,
1632,4931838.268128657,230659.53886839075,4.707304250888146,,,
1633,4969886.16578895,229364.48870501295,4.70730425088623,,,
1634,5006292.187542498,228079.6659673501,4.707304250884151,,,
1635,5035947.300758978,226805.07224322285,4.707304250881897,,,
1636,5058000.0,225540.70927699737,4.707304250879453,,,
1637,5072450.285265569,224286.57897458758,4.7073042508768035,,,
1638,5079298.156555679,223042.68340874874,4.70730425087393,,,
1639,5080054.522407404,221809.02482456178,4.707304250870815,,,
1640,5083784.834043155,220585.6056451745,4.707304250867438,,,
1641,5092000.0,219372.42847780493,4.707304250863775,,,
1642,5104700.020277941,218169.49611996024,4.707304250859804,,,
1643,5121884.894876973,216976.81156598017,4.707304250855499,,,
1644,5142620.678013075,215794.37801377868,4.70730425085083,,,
1645,5161303.694982095,214622.19887194494,4.707304250845768,,,
1646,5177000.0,213460.27776706475,4.70730425084028,,,
1647,5189709.593066797,212308.61855138477,4.707304250834329,,,
1648,5199432.474182479,211167.22531077222,4.707304250827876,,,
1649,5206861.4095141385,210036.10237297474,4.70730425082088,,,
1650,5216152.996064285,208915.254316231,4.707304250813294,,,
1651,5228000.0,207804.68597820852,4.70730425080507,,,
1652,5242402.421321291,206704.40246527718,4.707304250796152,,,
1653,5259360.26002815,205614.40916215413,4.707304250786482,,,
1654,5277090.864902095,204534.7117418955,4.707304250775997,,,
1655,5284898.328632209,203465.31617630087,4.707304250764629,,,
1656,5281000.0,202406.22874666663,4.707304250752303,,,
1657,5265395.879005472,201357.45605494958,4.707304250738939,,,
1658,5238085.965648621,200319.00503536966,4.707304250724447,,,
1659,5201273.401073286,199290.88296639707,4.707304250708735,,,
1660,5168177.032142469,198273.0974832014,4.707304250691699,,,
1661,5141000.0,197265.65659052154,4.707304250673227,,,
1662,5119742.304645882,196268.56867603282,4.707304250653198,,,
1663,5104403.946080113,195281.84252415507,4.707304250631482,,,
1664,5093908.728658179,194305.48733034785,4.707304250607936,,,
1665,5081799.478512982,193339.512715937,4.707304250582405,,,
1666,5067000.0,192383.9287434076,4.707304250554723,,,
1667,5049510.29311924,191438.74593226906,4.707304250524708,,,
1668,5029330.357870695,190503.97527542614,4.7073042504921645,,,
1669,5007674.226977635,189579.62825613117,4.707304250456877,,,
1670,4991826.096779651,188665.716865492,4.707304250418617,,,
1671,4983000.0,187762.25362056648,4.707304250377133,,,
1672,4981195.936638689,186869.25158308144,4.707304250332152,,,
1673,4986413.906695712,185986.72437873742,4.707304250283381,,,
1674,4997005.909476003,185114.6862171672,4.7073042502305,,,
1675,5003083.940809124,184253.1519125481,4.707304250173163,,,
1676,5003000.0,183402.13690486213,4.707304250110994,,,
1677,4996754.087048637,182561.65728187026,4.707304250043586,,,
1678,4984346.201955027,181731.72980175423,4.707304249970497,,,
1679,4966570.316166347,180912.3719165204,4.7073042498912505,,,
1680,4948190.258365615,180103.60179610603,4.707304249805325,,,
1681,4930000.0,179305.4383532557,4.707304249712157,,,
1682,4911999.541069505,178517.90126919106,4.7073042496111395,,,
1683,4894188.881574126,177741.01102004788,4.707304249501608,,,
1684,4877492.193525918,176974.78890414163,4.707304249382847,,,
1685,4867454.5089971945,176219.25707008605,4.707304249254078,,,
1686,4865000.0,175474.43854573276,4.707304249114458,,,
1687,4870128.666534343,174740.3572680182,4.707304248963072,,,
1688,4882840.508600216,174017.03811368052,4.707304248798928,,,
1689,4901716.522678143,173304.50693093872,4.707304248620952,,,
1690,4918242.687651233,172602.79057205605,4.707304248427978,,,
1691,4931000.0,171911.91692692036,4.707304248218742,,,
1692,4939988.45972445,171231.91495757276,4.707304247991873,,,
