DSM SFH,Population,Stock,PpD,Stock change,Inflow,Outflow
1600,4084715.1251066555,160152.89273330162,4.704169015341736,,,
1601,4110000.0000000005,158578.07944506474,4.704169015341735,,,
1602,4135284.8748933454,156993.6127635091,4.704169015341735,,,
1603,4162227.312340017,155419.2886683537,4.704169015341734,,,
1604,4190827.3123400174,153855.0779752516,4.704169015341734,,,
1605,4221084.874893345,152300.95140928365,4.7041690153417335,,,
1606,4253000.0,150756.87960521955,4.704169015341733,,,
1607,4286572.687659984,149222.8331078952,4.704169015341733,,,
1608,4321802.937873295,147698.78237277648,4.704169015341732,,,
1609,4357833.188086607,146184.6977666328,4.704169015341731,,,
1610,4389518.062979951,144680.54956839333,4.70416901534173,,,
1611,4416000.0,143186.30797016178,4.704169015341729,,,
1612,4437278.999146756,141701.94307838994,4.704169015341727,,,
1613,4453355.060420216,140227.42491523884,4.704169015341726,,,
1614,4465813.559140349,138762.7234201136,4.704169015341725,,,
1615,4484166.747226955,137307.80845138835,4.704169015341723,,,
1616,4510000.0,135862.64978833374,4.704169015341722,,,
1617,4543313.317459486,134427.21713322707,4.704169015341719,,,
1618,4584106.699605409,133001.48011369497,4.7041690153417175,,,
1619,4630045.4570713,131585.40828525624,4.704169015341715,,,
1620,4667121.453658322,130178.97113410477,4.704169015341712,,,
1621,4693000.0,128782.1380800925,4.7041690153417095,,,
1622,4707681.096096337,127394.87848000153,4.704169015341707,,,
1623,4711164.741947328,126017.16163101133,4.704169015341703,,,
1624,4706073.698431848,124648.95677447297,4.704169015341699,,,
1625,4708144.530823116,123290.23309990326,4.704169015341695,,,
1626,4720000.0,121940.95974928432,4.70416901534169,,,
1627,4741640.105962503,120601.1058216396,4.7041690153416855,,,
1628,4773064.848710621,119270.64037789142,4.704169015341679,,,
1629,4812952.35233761,117949.53244603837,4.704169015341673,,,
1630,4853371.361402987,116637.75102662733,4.704169015341666,,,
1631,4893000.0,115335.26509856513,4.704169015341658,,,
1632,4931838.268128657,114042.04362525193,4.70416901534165,,,
1633,4969886.16578895,112758.05556105723,4.70416901534164,,,
1634,5006292.187542498,111483.26985816618,4.70416901534163,,,
1635,5035947.300758978,110217.65547376983,4.704169015341618,,,
1636,5058000.0,108961.18137765223,4.704169015341606,,,
1637,5072450.285265569,107713.81656015116,4.704169015341591,,,
1638,5079298.156555679,106475.53004053968,4.704169015341575,,,
1639,5080054.522407404,105246.2908757953,4.7041690153415585,,,
1640,5083784.834043155,104026.06816982305,4.704169015341539,,,
1641,5092000.0,102814.83108310528,4.7041690153415185,,,
1642,5104700.020277941,101612.5488427909,4.704169015341495,,,
1643,5121884.894876973,100419.1907532938,4.70416901534147,,,
1644,5142620.678013075,99234.72620731218,4.704169015341441,,,
1645,5161303.694982095,98059.12469740542,4.704169015341409,,,
1646,5177000.0,96892.35582803073,4.704169015341375,,,
1647,5189709.593066797,95734.38932813946,4.7041690153413365,,,
1648,5199432.474182479,94585.19506429833,4.704169015341294,,,
1649,5206861.4095141385,93444.74305436575,4.704169015341247,,,
1650,5216152.996064285,92313.0034817464,4.704169015341195,,,
1651,5228000.0,91189.94671023959,4.7041690153411375,,,
1652,5242402.421321291,90075.54329948295,4.7041690153410745,,,
1653,5259360.26002815,88969.76402103045,4.704169015341004,,,
1654,5277090.864902095,87872.5798750612,4.704169015340927,,,
1655,5284898.328632209,86783.96210776303,4.704169015340842,,,
1656,5281000.0,85703.88222937584,4.704169015340748,,,
1657,5265395.879005472,84632.31203295273,4.704169015340643,,,
1658,5238085.965648621,83569.22361381841,4.704169015340527,,,
1659,5201273.401073286,82514.58938977384,4.7041690153404,,,
1660,5168177.032142469,81468.38212206401,4.704169015340259,,,
1661,5141000.0,80430.57493711723,4.704169015340104,,,
1662,5119742.304645882,79401.14134906654,4.704169015339931,,,
1663,5104403.946080113,78380.05528313274,4.704169015339741,,,
1664,5093908.728658179,77367.29109980806,4.704169015339532,,,
1665,5081799.478512982,76362.82361992638,4.704169015339299,,,
1666,5067000.0,75366.62815062047,4.704169015339042,,,
1667,5049510.29311924,74378.6805121958,4.704169015338759,,,
1668,5029330.357870695,73398.95706591086,4.7041690153384454,,,
1669,5007674.226977635,72427.43474276399,4.704169015338099,,,
1670,4991826.096779651,71464.09107323519,4.704169015337715,,,
1671,4983000.0,70508.9042180364,4.704169015337293,,,
1672,4981195.936638689,69561.85299992454,4.7041690153368245,,,
1673,4986413.906695712,68622.9169365481,4.704169015336308,,,
1674,4997005.909476003,67692.07627440126,4.7041690153357365,,,
1675,5003083.940809124,66769.3120239017,4.704169015335105,,,
1676,5003000.0,65854.6059955929,4.704169015334408,,,
1677,4996754.087048637,64947.940837545524,4.704169015333637,,,
1678,4984346.201955027,64049.30007395044,4.704169015332784,,,
1679,4966570.316166347,63158.668144942814,4.704169015331843,,,
