,Population,Stock,Stock per capita,Stock change,Inflow,Outflow
1801,8671000.0,1512000.0,0.1743743512858955,,,
1802,8731000.0,1521928.8467618146,0.17431323408106913,9928.846761814551,,
1803,8832000.0,1538994.696250976,0.17425211687624276,17065.849489161512,,
1804,8945000.0,1558138.4920608194,0.17419099967141638,19143.795809843345,,
1805,9092000.0,1583188.8913862363,0.17412988246659,25050.39932541689,,
1806,9232000.0,1607002.8408966018,0.17406876526176362,23813.94951036549,,
1807,9368000.0,1630103.6469973882,0.17400764805693725,23100.80610078643,,
1808,9498000.0,1652144.150033349,0.17394653085211087,22040.50303596072,,
1809,9624000.0,1673473.220941466,0.1738854136472845,21329.070908117108,,
1810,9738000.0,1692700.9987566571,0.17382429644245811,19227.777815191075,,
1811,9864000.0,1714000.0,0.1737631792376318,21299.00124334288,,
1812,9988000.0,1736696.9721121632,0.17387835123269554,22696.972112163203,,
1813,10141000.0,1764468.319052707,0.1739935232277593,27771.346940543735,,
1814,10274000.0,1788792.7347192839,0.17410869522282305,24324.41566657694,,
1815,10458000.0,1822033.20336466,0.1742238672178868,33240.46864537615,,
1816,10628000.0,1852875.3087552383,0.17433903921295055,30842.105390578276,,
1817,10802000.0,1884454.3894689705,0.1744542112080143,31579.080713732168,,
1818,10957000.0,1912756.7317561263,0.17456938320307805,28302.3422871558,,
1819,11122000.0,1942841.6229137331,0.1746845551981418,30084.89115760685,,
1820,11268000.0,1969643.32601304,0.17479972719320555,26801.703099306906,,
1821,11457000.0,2004000.0,0.1749148991882692,34356.67398695997,,
1822,11652000.0,2047047.2252873967,0.175682048170906,43047.22528739669,,
1823,11839000.0,2088982.045100793,0.1764491971535428,41934.819813396316,,
1824,12017000.0,2129608.8315184703,0.1772163461361796,40626.7864176773,,
1825,12208000.0,2172822.5084105106,0.1779834951188164,43213.6768920403,,
1826,12374000.0,2211860.4701113817,0.1787506441014532,39037.96170087112,,
1827,12528000.0,2248998.9117574794,0.17951779308409,37138.44164609769,,
1828,12728000.0,2294666.7426252984,0.1802849420667268,45667.83086781902,,
1829,12903000.0,2336115.1308099385,0.1810520910493636,41448.38818464009,,
1830,13074000.0,2377104.7441783734,0.1818192400320004,40989.61336843483,,
1831,13254000.0,2420000.0,0.18258638901463708,42895.25582162663,,
1832,13394000.0,2460152.032167213,0.18367567807728932,40152.03216721304,,
1833,13565000.0,2506336.7792533073,0.18476496713994156,46184.74708609423,,
1834,13760000.0,2557354.5653476906,0.1858542562025938,51017.78609438334,,
1835,13921000.0,2602441.09363749,0.18694354526524604,45086.52828979958,,
1836,14100000.0,2651262.9640233656,0.18803283432789827,48821.87038587546,,
1837,14261000.0,2697070.601672641,0.1891221233905505,45807.63764927536,,
1838,14416000.0,2742087.721925371,0.19021141245320275,45017.12025272986,,
1839,14594000.0,2791842.437922388,0.191300701515855,49754.71599701699,,
1840,14769000.0,2841407.770853973,0.19238999057850723,49565.332931585144,,
1841,14937000.0,2890000.0,0.19347927964115955,48592.229146027006,,
1842,15073000.0,2910638.7187626795,0.19310281422163336,20638.71876267949,,
1843,15264000.0,2941774.9881153638,0.19272634880210718,31136.269352684263,,
1844,15455000.0,2972767.4476777893,0.192349883382581,30992.4595624255,,
1845,15648000.0,3004000.044285882,0.1919734179630548,31232.596608092543,,
1846,15841000.0,3035087.325242037,0.19159695254352863,31087.280956155155,,
1847,16035000.0,3066220.511033379,0.19122048712400244,31133.185791342054,,
1848,16230000.0,3097398.4722636496,0.19084402170447626,31177.961230270565,,
1849,16426000.0,3128620.07953659,0.19046755628495007,31221.607272940222,,
1850,16622000.0,3159694.112365076,0.1900910908654239,31074.03282848606,,
1851,16820000.0,3191000.0,0.18971462544589773,31305.887634924147,,
1852,17018000.0,3235801.9479323644,0.19013996638455544,44801.94793236442,,
1853,17218000.0,3281153.4614910837,0.19056530732321314,45351.51355871931,,
1854,17418000.0,3326675.111425266,0.19099064826187084,45521.64993418241,,
1855,17618000.0,3372366.897734912,0.19141598920052855,45691.78630964598,,
1856,17820000.0,3418612.503080299,0.19184133013918625,46245.60534538701,,
1857,18021000.0,3464837.679493826,0.19226667107784395,46225.17641352676,,
1858,18223000.0,3511426.5349767096,0.19269201201650166,46588.85548288375,,
1859,18426000.0,3558380.3455517665,0.19311735295515936,46953.81057505682,,
1860,18629000.0,3605506.844547918,0.19354269389381706,47126.49899615161,,
1861,18833000.0,3653000.0,0.1939680348324749,47493.15545208193,,
1862,19073000.0,3706131.807350162,0.1943129978162933,53131.80735016195,,
1863,19315000.0,3759818.5128541575,0.1946579608001117,53686.70550399553,,
1864,19561000.0,3814452.1921374565,0.19500292378393008,54633.67928329902,,
1865,19810000.0,3869841.636869097,0.19534788676774847,55389.44473164063,,
1866,20062000.0,3925989.9517159346,0.19569284975156687,56148.31484683743,,
1867,20317000.0,3982900.241344822,0.19603781273538526,56910.28962888755,,
1868,20575000.0,4040575.610422615,0.19638277571920365,57675.36907779286,,
1869,20837000.0,4099215.8913548705,0.19672773870302204,58640.280932255555,,
1870,21102000.0,4158628.1509957067,0.19707270168684043,59412.25964083616,,
