,Gas,Oil,Coal,Wood,LPG,Renewables
1689,0.0,0.0,0.0,989.6984360724921,0.0,0.0
1690,0.0,0.0,0.0,1020.1188542623495,0.0,0.0
1691,0.0,0.0,0.0,1051.262708733858,0.0,0.0
1692,0.0,0.0,0.0,1083.1326406626533,0.0,0.0
1693,0.0,0.0,0.0,1115.7304204318484,0.0,0.0
1694,0.0,0.0,0.0,1149.0569498939703,0.0,0.0
1695,0.0,0.0,0.0,1183.1122645912512,0.0,0.0
1696,0.0,0.0,0.0,1217.895535934083,0.0,0.0
1697,0.0,0.0,0.0,1253.4050733374775,0.0,0.0
1698,0.0,0.0,0.0,1289.6383262678632,0.0,0.0
1699,0.0,0.0,0.0,1326.5918718713515,0.0,0.0
1700,0.0,0.0,0.0,1364.26138241333,0.0,0.0
1701,0.0,0.0,0.0,1402.6416223619156,0.0,0.0
1702,0.0,0.0,0.0,1441.7264504415643,0.0,0.0
1703,0.0,0.0,0.0,1481.508821625675,0.0,0.0
1704,0.0,0.0,0.0,1521.9807890836958,0.0,0.0
1705,0.0,0.0,0.0,1563.1335060826136,0.0,0.0
1706,0.0,0.0,0.0,1604.9572278427343,0.0,0.0
1707,0.0,0.0,0.0,1647.4413133476537,0.0,0.0
1708,0.0,0.0,0.0,1690.574230011058,0.0,0.0
1709,0.0,0.0,0.0,1734.3436742773322,0.0,0.0
1710,0.0,0.0,0.0,1778.7367307655097,0.0,0.0
1711,0.0,0.0,0.0,1823.73988380983,0.0,0.0
1712,0.0,0.0,0.0,1869.3390184621103,0.0,0.0
1713,0.0,0.0,0.0,1915.5194214949736,0.0,0.0
1714,0.0,0.0,0.0,1962.2657823723869,0.0,0.0
1715,0.0,0.0,0.0,2009.5621941875067,0.0,0.0
1716,0.0,0.0,0.0,2057.392154567817,0.0,0.0
1717,0.0,0.0,0.0,2105.7385665475526,0.0,0.0
1718,0.0,0.0,0.0,2154.5837604761896,0.0,0.0
1719,0.0,0.0,0.0,2203.9097994705126,0.0,0.0
1720,0.0,0.0,0.0,2253.6987080543554,0.0,0.0
1721,0.0,0.0,0.0,2303.9324768625916,0.0,0.0
1722,0.0,0.0,0.0,2354.5930624112193,0.0,0.0
1723,0.0,0.0,0.0,2405.6623868777074,0.0,0.0
1724,0.0,0.0,0.0,2457.122337874448,0.0,0.0
1725,0.0,0.0,0.0,2508.954768215374,0.0,0.0
1726,0.0,0.0,0.0,2561.1414956757635,0.0,0.0
1727,0.0,0.0,0.0,2613.664302745285,0.0,0.0
1728,0.0,0.0,0.0,2666.504997043536,0.0,0.0
1729,0.0,0.0,0.0,2719.6458235876084,0.0,0.0
1730,0.0,0.0,0.0,2773.0696345188567,0.0,0.0
1731,0.0,0.0,0.0,2826.75988792383,0.0,0.0
1732,0.0,0.0,0.0,2880.7006466352123,0.0,0.0
1733,0.0,0.0,0.0,2934.8765770569125,0.0,0.0
1734,0.0,0.0,0.0,2989.2729480116013,0.0,0.0
1735,0.0,0.0,0.0,3043.8756296106912,0.0,0.0
1736,0.0,0.0,0.0,3098.6710921467634,0.0,0.0
1737,0.0,0.0,0.0,3153.6464050150958,0.0,0.0
1738,0.0,0.0,0.0,3208.7893275733895,0.0,0.0
1739,0.0,0.0,0.0,3264.0886306551524,0.0,0.0
1740,0.0,0.0,0.0,3319.5341649174047,0.0,0.0
1741,0.0,0.0,0.0,3375.1168590240386,0.0,0.0
1742,0.0,0.0,0.0,3430.828718089896,0.0,0.0
1743,0.0,0.0,0.0,3486.6628221683254,0.0,0.0
1744,0.0,0.0,0.0,3542.6133247821144,0.0,0.0
1745,0.0,0.0,0.0,3598.6754514977592,0.0,0.0
1746,0.0,0.0,0.0,3654.845498542914,0.0,0.0
1747,0.0,0.0,0.0,3711.120831946208,0.0,0.0
1748,0.0,0.0,0.0,3767.4999384582075,0.0,0.0
1749,0.0,0.0,0.0,3823.9825225701043,0.0,0.0
1750,0.0,0.0,0.0,3880.5695157562345,0.0,0.0
1751,0.0,0.0,0.0,3937.263075105825,0.0,0.0
1752,0.0,0.0,0.0,3994.0665820374625,0.0,0.0
1753,0.0,0.0,0.0,4050.9846410626506,0.0,0.0
1754,0.0,0.0,0.0,4108.023078598305,0.0,0.0
1755,0.0,0.0,0.0,4165.188941827969,0.0,0.0
1756,0.0,0.0,0.0,4222.49049761154,0.0,0.0
1757,0.0,0.0,0.0,4279.937228121724,0.0,0.0
1758,0.0,0.0,0.0,4337.539745017476,0.0,0.0
1759,0.0,0.0,0.0,4395.309698989656,0.0,0.0
1760,0.0,0.0,0.0,4453.259774971163,0.0,0.0
1761,0.0,0.0,0.0,4511.403691448514,0.0,0.0
1762,0.0,0.0,0.0,4569.756199799983,0.0,0.0
1763,0.0,0.0,0.0,4628.333083673293,0.0,0.0
1764,0.0,0.0,0.0,4687.151158402688,0.0,0.0
1765,0.0,0.0,0.0,4746.228270465062,0.0,0.0
1766,0.0,0.0,0.0,4805.583296974955,0.0,0.0
1767,0.0,0.0,0.0,4865.236122251474,0.0,0.0
1768,0.0,0.0,0.0,4925.207396593352,0.0,0.0
1769,0.0,0.0,0.0,4985.51839293793,0.0,0.0
1770,0.0,0.0,0.0,5046.191005290239,0.0,0.0
1771,0.0,0.0,0.0,5107.247748667331,0.0,0.0
1772,0.0,0.0,0.0,5168.711759058292,0.0,0.0
1773,0.0,0.0,0.0,5230.606793405642,0.0,0.0
1774,0.0,0.0,0.0,5292.957229607901,0.0,0.0
1775,0.0,0.0,0.0,5355.78806654317,0.0,0.0
1776,0.0,0.0,0.0,5419.124924113433,0.0,0.0
1777,0.0,0.0,0.0,5482.993983958405,0.0,0.0
1778,0.0,0.0,0.0,5547.421681040133,0.0,0.0
1779,0.0,0.0,0.0,5612.434604815671,0.0,0.0
1780,0.0,0.0,0.0,5678.059499833792,0.0,0.0
1781,0.0,0.0,0.0,5744.323266079739,0.0,0.0
1782,0.0,0.0,0.0,5811.252959322443,0.0,0.0
1783,0.0,0.0,0.0,5878.875791464326,0.0,0.0
1784,0.0,0.0,0.0,5947.219130893527,0.0,0.0
1785,0.0,0.0,0.0,6016.310502838451,0.0,0.0
1786,0.0,0.0,0.0,6086.177589582963,0.0,0.0
1787,0.0,0.0,0.0,6156.848139158389,0.0,0.0
1788,0.0,0.0,0.0,6228.349716540158,0.0,0.0
1789,0.0,0.0,0.0,6300.709662840495,0.0,0.0
1790,0.0,0.0,0.0,6373.955095908841,0.0,0.0
1791,0.0,0.0,0.0,6448.112910792368,0.0,0.0
1792,0.0,0.0,0.0,6523.209780185393,0.0,0.0
1793,0.0,0.0,0.0,6599.272154867592,0.0,0.0
1794,0.0,0.0,0.0,6676.3262641310785,0.0,0.0
1795,0.0,0.0,0.0,6754.398116196356,0.0,0.0
1796,0.0,0.0,0.0,6833.51349693929,0.0,0.0
1797,0.0,0.0,0.0,6913.697879310383,0.0,0.0
1798,0.0,0.0,0.0,6994.9762882369005,0.0,0.0
1799,0.0,0.0,0.0,7077.373290357364,0.0,0.0
1800,0.0,0.0,21.277938822162117,7142.294797972417,0.0,0.0
1801,0.0,0.0,43.07526808081157,7207.928192189135,0.0,0.0
1802,0.0,0.0,65.40317869693814,7274.286875070564,0.0,0.0
1803,0.0,0.0,88.27314878437195,7341.383540566934,0.0,0.0
1804,0.0,0.0,111.69693739153533,7409.230180305177,0.0,0.0
1805,0.0,0.0,135.68657823450255,7477.838089368139,0.0,0.0
1806,0.0,0.0,160.2543733651918,7547.21786943689,0.0,0.0
1807,0.0,0.0,185.41288574603269,7617.37938939951,0.0,0.0
1808,0.0,0.0,211.17493118367355,7688.331753835226,0.0,0.0
1809,0.0,0.0,237.55357067847675,7760.083308830241,0.0,0.0
1810,0.0,0.0,264.56208016796404,7832.640979518207,0.0,0.0
1811,0.0,0.0,292.21380644759137,7906.006874443166,0.0,0.0
1812,0.0,0.0,320.52222601877304,7980.181576005862,0.0,0.0
1813,0.0,0.0,349.5009521720502,8055.164802441536,0.0,0.0
1814,0.0,0.0,379.1637238608495,8130.955411682661,0.0,0.0
1815,0.0,0.0,409.5243945564262,8207.551407568375,0.0,0.0
1816,0.0,0.0,440.596921036873,8284.949946556102,0.0,0.0
1817,0.0,0.0,472.39535218264257,8363.147346048265,0.0,0.0
1818,0.0,0.0,504.9338176861883,8442.139092191885,0.0,0.0
1819,0.0,0.0,538.2265166690828,8521.919847260478,0.0,0.0
