,Population,Stock,PpD,Stock Change,Inflow,Outflow,Stock change
1600,0,,0,0,0.0,,
1601,0,314.7633538044268,0,0,314.7633538044268,0.0,314.7633538044268
1602,0,632.5802839177281,0,0,319.75098856190056,1.9340584485992167,317.81693011330134
1603,0,954.2940612839371,0,0,324.6486569080363,2.9348795418272857,321.713777366209
1604,0,1279.7986062106324,0,0,329.4570858907754,3.9525409640800717,325.5045449266953
1605,0,1608.9888640244294,0,0,334.1770015661942,4.986743752397217,329.19025781379696
1606,0,1941.7608037211255,0,0,338.80912900797074,6.037189311274631,332.7719396966961
1607,0,2278.011416602405,0,0,343.35419231690383,7.10357943562434,336.2506128812795
1608,0,2617.6387148987515,0,0,347.81291463034484,8.185616333998382,339.62729829634645
1609,0,2960.541730378297,0,0,352.1860181316325,9.28300265208702,342.9030154795455
1610,0,3306.620597398343,0,0,356.4743085165231,10.39544149647719,346.0788670200459
1611,0,3655.7909394837857,0,0,360.69297906305536,11.522636977612535,349.1703420854428
1612,0,4008.013733343702,0,0,364.88717624536736,12.66438238545112,352.22279385991624
1613,0,4363.297658438403,0,0,369.1046253006254,13.820700205924084,355.2839250947013
1614,0,4721.697571369395,0,0,373.391679293367,14.991766362375643,358.3999129309914
1615,0,5083.313013952814,0,0,377.79333678106644,16.177894197647163,361.6154425834193
1616,0,5448.286742724756,0,0,382.35325944391633,17.379530671974578,364.97372877194175
1617,0,5816.8032798062595,0,0,387.11378967929215,18.59725259778827,368.5165370815039
1618,0,6189.087485056098,0,0,392.11596816138064,19.831762911542512,372.2842052498381
1619,0,6565.403149439717,0,0,397.3995513664872,21.083886982868023,376.31566438361915
1620,0,6946.050844562319,0,0,403.00226408375323,22.35456896115096,380.6476951226023
1621,0,7331.342331683171,0,0,408.936350580286,23.644863459433736,385.29148712085225
1622,0,7721.571550334375,0,0,415.18500408163504,24.95578543043098,390.22921865120406
1623,0,8117.01345263397,0,0,421.7301121889631,26.288209889368716,395.4419022995944
1624,0,8517.924445627785,0,0,428.5539458750611,27.642952881246174,400.91099299381494
1625,0,8924.542823494843,0,0,435.6391555410703,29.020777674011924,406.61837786705837
1626,0,9337.089194827373,0,0,442.96876708237914,30.42239574984933,412.5463713325298
1627,0,9755.766905000628,0,0,450.52617796347096,31.84846779021592,418.67771017325504
1628,0,10180.762453648036,0,0,458.2951533017042,33.29960465429599,424.9955486474082
1629,0,10612.245907256805,0,0,466.25982195987706,34.77636835110786,431.4834536087692
1630,0,11050.373487769055,0,0,474.4068535172486,36.27927300499903,438.12758051224955
1631,0,11495.314432961743,0,0,482.74974440767886,37.80879921499121,444.94094519268765
1632,0,11947.26803430181,0,0,491.31915231883187,39.36555097876527,451.9536013400666
1633,0,12406.462795141855,0,0,500.14503971572094,40.95027887567494,459.194760840046
1634,0,12873.155327696943,0,0,509.25635585917956,42.56382330409218,466.6925325550874
1635,0,13347.6292692553,0,0,518.6810521119611,44.20711055360391,474.4739415583572
1636,0,13830.19421653987,0,0,528.4460972195741,45.88114993500335,482.56494728457074
1637,0,14321.184678160404,0,0,538.5774925658533,47.58703094532018,490.9904616205331
1638,0,14820.959045096435,0,0,549.1002874040471,49.32592046801551,499.7743669360316
1639,0,15329.898579151362,0,0,560.038594063535,51.09906000860781,508.9395340549272
1640,0,15848.404313552335,0,0,571.4134973669029,52.90776296593003,518.5057344009729
1641,0,16376.883743456776,0,0,583.232828904608,54.753399000167406,528.4794299044406
1642,0,16915.745860301595,0,0,595.4994388052144,56.63732196039541,538.862116844819
1643,0,17465.400843955184,0,0,608.2158635810987,58.56087992750997,549.6549836535887
1644,0,18026.25975546015,0,0,621.3843400244252,60.525428519459865,560.8589115049654
1645,0,18598.734237440163,0,0,635.006811934154,62.53232995413964,572.4744819800144
1646,0,19183.236222166535,0,0,649.08493683484,64.58295210846802,584.501984726372
1647,0,19780.17764725873,0,0,663.6200926877566,66.67866759556205,596.9414250921945
1648,0,20389.970178992717,0,0,678.6133845942826,68.82085286029576,609.7925317339868
1649,0,21013.024944130833,0,0,694.0656524311246,71.01088729300795,623.0547651381166
1650,0,21649.754085126995,0,0,709.979293363822,73.25015236766023,636.7291409961617
1651,0,22300.57600484588,0,0,726.3619616716,75.54004195271546,650.8219197188846
1652,0,22965.915916523278,0,0,743.2219014500805,77.88198977268246,665.339911677398
1653,0,23646.205321120797,0,0,760.5668614690187,80.27745687149968,680.289404597519
1654,0,24341.881500181295,0,0,778.4041057944877,82.72792673398988,695.6761790604978
1655,0,25053.387020782342,0,0,796.7404243988955,85.234903797848,711.5055206010475
1656,0,25781.169252547486,0,0,815.5821437587476,87.79991199360325,727.7822317651444
1657,0,26525.679896675574,0,0,834.9351374406671,90.42449331257933,744.5106441280877
1658,0,27287.374526948413,0,0,854.8048366760313,93.11020640319202,761.6946302728393
1659,0,28066.71206299589,0,0,875.1961612428667,95.8586251953883,779.3375360474784
1660,0,28864.148430974703,0,0,896.1077050428084,98.67133706399727,797.4363679788112
1661,0,29680.126544710507,0,0,917.5280192090476,101.54990547324348,815.9781137358041
1662,0,30515.07553354106,0,0,939.4448164142098,104.49582758365545,834.9489888305543
1663,0,31369.41090575427,0,0,961.8459319686896,107.51055975548081,854.3353722132088
1664,0,32243.534710970616,0,0,984.7193259236032,110.59552070725692,874.1238052163462
1665,0,33137.83570440517,0,0,1008.0530851756695,113.75209174111217,894.3009934345573
1666,0,34052.68951300118,0,0,1031.835425573689,116.9816169776791,914.8538085960099
1667,0,34988.45880342774,0,0,1056.0546940271106,120.28540360055376,935.7692904265568
1668,0,35945.493451933544,0,0,1080.6993706163803,123.6647221105768,957.0346485058035
1669,0,36924.130346163976,0,0,1105.757700820006,127.12080658957348,978.6368942304325
1670,0,37924.68593545857,0,0,1131.210441996009,130.65485270141676,1000.5555892945922
1671,0,38947.44954832268,0,0,1157.031585117085,134.26797225297514,1022.7636128641097
1672,0,39992.68383406543,0,0,1183.1954601457526,137.96117440300236,1045.2342857427502
1673,0,41060.62546278056,0,0,1209.6770169890808,141.73538827394827,1067.9416287151325
1674,0,42151.48581658239,0,0,1236.4518192940589,145.5914654922301,1090.8603538018288
1675,0,43265.451673000505,0,0,1263.496038255348,149.53018183723248,1113.9658564181154
1676,0,44402.6858805554,0,0,1290.7864464350855,153.55223888019054,1137.234207554895
1677,0,45563.328026536845,0,0,1318.3004115949775,157.65826561353288,1160.6421459814446
1678,0,46747.495097007486,0,0,1346.0158905399978,161.84882006935663,1184.1670704706412
1679,0,47955.28065776324,0,0,1373.9099516841945,166.1243909284442,1207.7855607557503
1680,0,49186.7423799721,0,0,1401.9471122869456,170.485390078082,1231.4617222088636
1681,0,50441.89629610107,0,0,1430.0859941703964,174.93207804142708,1255.1539161289693
1682,0,51720.71813065009,0,0,1458.2864005648375,179.4645660158135,1278.821834549024
1683,0,53023.144652369396,0,0,1486.5093626566215,184.08284093731913,1302.4265217193024
1684,0,54349.07500419489,0,0,1514.7171209556989,188.7867691302024,1325.9303518254965
1685,0,55698.37201116787,0,0,1542.8731066874257,193.57609971444754,1349.2970069729781
1686,0,57070.86346640294,0,0,1570.9419232077116,198.45046797264422,1372.4914552350674
1687,0,58466.343395169315,0,0,1598.8893274415907,203.40939867521342,1395.4799287663773
1688,0,59884.57329714986,0,0,1626.6822113442352,208.45230936369194,1418.2299019805432
1689,0,61325.28132934947,0,0,1654.286545792043,213.57851359243205,1440.708032199611
1690,0,62788.154370110075,0,0,1681.6602523687595,218.78721160815417,1462.8730407606054
1691,0,64272.837016391895,0,0,1708.7600898225185,224.0774435406977,1484.6826462818208
1692,0,65778.93322393922,0,0,1735.5443142849265,229.44810673759753,1506.096207547329
1693,0,67306.00790800834,0,0,1761.9726523807778,234.89796831166427,1527.0746840691136
1694,0,68853.5885128031,0,0,1788.0062741730142,240.42566937825882,1547.5806047947553
1695,0,70421.16654971008,0,0,1813.6077661346017,246.0297292276182,1567.5780369069835
1696,0,72008.19910442547,0,0,1838.741104147494,251.70854943210247,1587.0325547153916
1697,0,73614.11031306478,0,0,1863.3716265270548,257.4604178877405,1605.9112086393143
1698,0,75238.29280514133,0,0,1887.4660048675685,263.2835127910182,1624.1824920765503
1699,0,76880.10845426902,0,0,1910.9915556626925,269.1759065350029,1641.8156491276895
1700,0,78538.88820614386,0,0,1933.91531735737,275.1355654825288,1658.7797518748412
