,Population,Stock,Stock per capita,Stock change,Inflow,Outflow,Stock AB,Stock MFH,Stock SFH,Stock TH
1750,3845548.814176656,1281871.3214198675,0.3333389805622114,5545.508456615498,,,0.0,161964.93251971458,19835.019490473445,1100071.3694096794
1751,3909266.3809254314,1287527.2799883331,0.32935265968842464,5655.958568465663,,,0.0,161488.2343056409,19576.98891111047,1106462.0567715818
1752,3973964.9908715487,1293295.8544180128,0.32544218617647513,5768.574429679662,,,0.0,161030.2543099421,19333.660483927237,1112931.9396241435
1753,4039657.25027619,1299179.251543994,0.32160630742996066,5883.397125981282,,,0.0,160591.15429171862,19105.193714770492,1119482.903537505
1754,4106355.8438840797,1305179.720010338,0.3178437937750196,6000.468466343824,,,0.0,160171.10125045947,18891.75518914619,1126116.8635707323
1755,4174073.5323758246,1311299.5510037462,0.31415343808219226,6119.830993408337,,,0.0,159770.26758899586,18693.51881326322,1132835.7646014872
1756,4242823.149690517,1317541.078997685,0.31053405539511825,6241.527993938886,,,0.0,159388.83128119097,18510.666062214692,1139641.5816542795
1757,4312617.60021561,1323906.682507017,0.30698448256595434,6365.6035093318205,,,0.0,159026.97604462155,18343.386235565788,1146536.3202268295
1758,4383469.85584107,1330398.784853171,0.3035035778974014,6492.102346154163,,,0.0,158684.89151831984,18191.876720519133,1153522.016614332
1759,4455392.952874852,1337019.8549398973,0.3000902207912284,6621.07008672622,,,0.0,158362.77344568344,18056.343262811042,1160600.7382314028
1760,4528399.988816749,1343772.4080396187,0.29674331140318294,6752.553099721437,,,0.0,158060.82386277526,17937.000245579333,1167774.5839312642
1761,4602504.118987676,1350659.006590412,0.2934617703041818,6886.598550793249,,,0.0,157779.25129203318,17834.070976404964,1175045.684321974
1762,4677718.553011472,1357682.2610036267,0.2902445381476753,7023.254413214745,,,0.0,157518.27094164674,17747.7879826828,1182416.2020792973
1763,4754056.551146394,1364844.8304821532,0.28709057534307925,7162.569478526479,,,0.0,157278.1049106348,17678.39331560511,1189888.3322559132
1764,4831531.420463394,1372149.423849336,0.28399886173517475,7304.5933671828825,,,0.0,157058.98239985143,17626.13886289195,1197464.3025865927
1765,4910156.510868446,1379598.8003885278,0.2809683962893724,7449.376539191697,,,0.0,156861.13992905433,17591.286670564787,1205146.3737889088
1766,4989945.210966154,1387195.7706932656,0.2779981967827411,7596.970304737799,,,0.0,156684.82156011817,17574.109273905968,1212936.8398592416
1767,5070910.943761943,1394943.197528048,0.2750872995007057,7747.426834782353,,,0.0,156530.2791266448,17574.890037906465,1220838.0283634968
1768,5153067.16220021,1402843.9966996775,0.27223475893931565,7900.799171629595,,,0.0,156397.77247007334,17593.923507351537,1228852.3007222528
1769,5236427.344535903,1410901.1379391227,0.2694396475129875,8057.141239445191,,,0.0,156287.5696824357,17631.51576687961,1236982.0524898074
1770,5321004.989536992,1419117.6457938515,0.2667010552676321,8216.507854728727,,,0.0,156199.94735597205,17687.984811111914,1245229.7136267675
1771,5406813.611515473,1427496.60053057,0.2640180895990712,8378.954736718442,,,0.0,156135.1908397247,17763.660925234824,1253597.7487656104
1772,5493866.735184588,1436041.1390482895,0.2613898749766525,8544.5385177196,,,0.0,156093.5945032839,17858.88707620654,1262088.657468799
1773,5582177.890340042,1444754.4558016392,0.2588155526719753,8713.316753349733,,,0.0,156075.4620079101,17974.01931484479,1270704.9744788844
1774,5671760.606363117,1453639.8037343232,0.256294280492638,8885.347932684002,,,0.0,156081.1065851235,18109.427189044796,1279449.269960155
1775,5762628.406543697,1462700.4952226132,0.2538252325209201,9060.691488289973,,,0.0,156110.8513229852,18265.494168405374,1288324.1497312228
1776,5854794.802221357,1471939.903028748,0.251407598857313,9239.407806134783,,,0.0,156165.02946028434,18442.618080527365,1297332.2554879363
1777,5948273.286742738,1481361.461264106,0.24904058536881654,9421.558235357981,,,0.0,156243.98468868912,18641.21155920233,1306476.2650162145
1778,6043077.329233693,1490968.6663619946,0.2467234134419161,9607.205097888596,,,0.0,156348.0714632475,18861.70250483282,1315758.8923939143
1779,6139220.368184703,1500765.078059892,0.24445531974015958,9796.411697897362,,,0.0,156477.65532119197,19104.534557278697,1325182.8881814212
1780,6236715.804848313,1510754.3203909476,0.2422355559662529,9989.242331055691,,,0.0,156633.11320945076,19370.16758147879,1334751.039600018
1781,6335576.996447502,1520940.082684555,0.24006338862859372,10185.762293607462,,,0.0,156814.83382087047,19659.078166080337,1344466.1706976043
1782,6435817.249194039,1531326.120575768,0.23793809881216513,10386.03789121285,,,0.0,157023.21793954066,19971.760135361248,1354331.142500866
1783,6537449.81111609,1541916.257023324,0.2358589819537114,10590.136447556084,,,0.0,157258.67879524367,20308.725074754322,1364348.853153326
1784,6640487.864694594,1552714.383336029,0.23382534762111798,10798.12631270499,,,0.0,157521.64242732778,20670.502870267817,1374522.2380384333
