cohort,TOT,AB,MFH,SFH,TH
1600,32.00014092981127,26.229481220991502,16.56098378113752,49.79904209314387,33.935440960165224
1601,31.99450298545716,26.22384247314412,16.553118795646704,49.79794445210535,33.9283797104417
1602,31.988978938959047,26.218317639368678,16.54541269875166,49.79686898563327,33.92146111222774
1603,31.98356879031644,26.21290671966392,16.537865490452393,49.79581569372761,33.914685165523345
1604,31.978272539528852,26.207609714028532,16.530477170748902,49.7947845763884,33.90805187032853
1605,31.973090186595744,26.20242662246108,16.523247739641178,49.793775633615624,33.90156122664327
1606,31.96802173151656,26.197357444960076,16.51617719712923,49.792788865409264,33.89521323446757
1607,31.9630671742907,26.19240218152391,16.50926554321307,49.79182427176935,33.88900789380145
1608,31.958226514917527,26.187560832150876,16.502512777892665,49.79088185269589,33.882945204644884
1609,31.953499753396333,26.18283339683918,16.495918901168043,49.78996160818885,33.87702516699789
1610,31.94888688972642,26.178219875586876,16.489483913039194,49.789063538248236,33.871247780860465
1611,31.94438792390702,26.173720268391925,16.48320781350612,49.78818764287406,33.8656130462326
1612,31.940002855937312,26.169334575252154,16.477090602568815,49.78733392206633,33.8601209631143
1613,31.935731685816414,26.165062796165234,16.47113228022729,49.786502375825016,33.85477153150556
1614,31.931574413543423,26.16090493112872,16.465332846481537,49.785693004150154,33.849564751406405
1615,31.927531039117337,26.15686098013996,16.459692301331557,49.784905807041724,33.8445006228168
1616,31.92360156253711,26.152930943196196,16.45421064477735,49.784140784499726,33.83957914573677
1617,31.919785983801646,26.149114820294457,16.448887876818922,49.78339793652417,33.83480032016631
1618,31.916084302909734,26.145412611431578,16.443723997456264,49.782677263115026,33.83016414610541
1619,31.91249651986014,26.141824316604207,16.43871900668938,49.78197876427233,33.825670623554075
1620,31.909022634651503,26.138349935808787,16.43387290451827,49.78130243999607,33.8213197525123
1621,31.90566264728242,26.134989469041518,16.42918569094294,49.78064829028625,33.817111532980114
1622,31.90241655775136,26.131742916298354,16.424657365963377,49.780016315142866,33.81304596495747
1623,31.899284366056715,26.12861027757501,16.42028792957959,49.779406514565906,33.809123048444405
1624,31.896266072196784,26.125591552866933,16.41607738179158,49.77881888855539,33.8053427834409
1625,31.893361676169707,26.122686742169236,16.412025722599342,49.778253437111296,33.80170516994695
1626,31.89057117797358,26.119895845476783,16.408132952002877,49.777710160233646,33.798210207962576
1627,31.887894577606332,26.117218862784046,16.40439907000218,49.77718905792243,33.79485789748777
1628,31.885331875065763,26.114655794085223,16.400824076597267,49.77669013017766,33.79164823852255
1629,31.882883070349543,26.11220663937405,16.397407971788127,49.7762133769993,33.78858123106687
1630,31.88054816345519,26.109871398643957,16.39415075557476,49.775758798387386,33.78565687512076
