,Population,Stock,PpD,Stock Change,Inflow,Outflow,Stock change
1600,0,,0,0,0.0,,
1601,0,284.43986932566685,0,0,284.43986932566685,0.0,284.43986932566685
1602,0,571.0386025033425,0,0,288.34646945554476,1.7477362778690804,286.5987331776757
1603,0,860.5394175260395,0,0,292.14926588607807,2.648450863381072,289.500815022697
1604,0,1152.8262315429185,0,0,295.849208161284,3.5623941444050047,292.286814016879
1605,0,1447.7842516351,0,0,299.4472446309735,4.489224538792087,294.9580200921814
1606,0,1745.299972435391,0,0,302.94432246308526,5.428601662794165,297.5157208002911
1607,0,2045.2611737337663,0,0,306.34138765602444,6.3801863576491655,299.9612012983753
1608,0,2347.556918068356,0,0,309.6393850509698,7.343640716380094,302.2957443345897
1609,0,2652.077548301696,0,0,312.83925834412935,8.318628110789405,304.52063023333994
1610,0,2958.7147600359795,0,0,315.94202495293746,9.304813218653976,306.6372117342835
1611,0,3267.3743218161667,0,0,318.9614242912389,10.301862511051695,308.65956178018723
1612,0,3578.0023062946384,0,0,321.93750670617027,11.309522227698551,310.6279844784717
1613,0,3890.5867969525566,0,0,324.91223177566286,12.327741117744665,312.5844906579182
1614,0,4205.156161402995,0,0,327.9259661642047,13.35660171376611,314.56936445043857
1615,0,4521.777363115626,0,0,331.0175066902338,14.396304977602938,316.62120171263086
1616,0,4840.554300648568,0,0,334.22410335044947,15.447165817507766,318.7769375329417
1617,0,5161.626174291841,0,0,337.58148230167467,16.50960865840102,321.07187364327365
1618,0,5485.1658800272735,0,0,341.12386880091225,17.58416306548014,323.5397057354321
1619,0,5811.378430710013,0,0,344.88401010419136,18.671459421451686,326.2125506827397
1620,0,6140.498742107922,0,0,348.89253605552597,19.772224657616903,329.12031139790906
1621,0,6472.769192693444,0,0,353.1577245553587,20.88727396983694,332.27045058552176
1622,0,6808.414506261324,0,0,357.66269371381605,22.01738014593576,335.6453135678803
1623,0,7147.640873939762,0,0,362.38955526227494,23.163187583837157,339.2263676784378
1624,0,7490.636469406316,0,0,367.3208786356877,24.325283169133854,342.9955954665538
1625,0,7837.5719532218745,0,0,372.4396858373399,25.504202021781225,346.93548381555865
1626,0,8188.600970812135,0,0,377.72944631472154,26.70042872446146,351.0290175902601
1627,0,8543.860644117238,0,0,383.1740718463722,27.91439854126901,355.2596733051032
1628,0,8903.472056929939,0,0,388.7579114395203,29.146498626819266,359.611412812701
1629,0,9267.540733942784,0,0,394.46574623845675,30.397069225611745,364.068677012845
1630,0,9636.158953651133,0,0,400.2846245699368,31.666404861587807,368.618219708349
1631,0,10009.428458432127,0,0,406.2242716055269,32.95476682453301,373.2695047809939
1632,0,10387.474615482679,0,0,412.30867250018866,34.26251544963645,378.0461570505522
1633,0,10770.445415888735,0,0,418.56092860377686,35.59012819772107,382.9708004060558
1634,0,11158.510260816356,0,0,425.00299553488713,36.938150607265754,388.0648449276214
1635,0,11551.858771930127,0,0,431.6557032146716,38.30719210090092,393.34851111377066
1636,0,11950.69962509368,0,0,438.5387758705344,39.69792270698025,398.84085316355413
1637,0,12355.259407272832,0,0,445.6708520104513,41.1110698313006,404.5597821791507
1638,0,12765.78149656218,0,0,453.06950436828714,42.54741507893863,410.5220892893485
1639,0,13182.524965256343,0,0,460.75125982071296,44.00779112654965,416.7434686941633
1640,0,13605.761778529592,0,0,468.72989191871517,45.49307864546705,423.2368132732481
1641,0,14035.765676497907,0,0,477.00809063009496,47.004192661779086,430.00389796831587
1642,0,14472.808019662376,0,0,485.58436611464293,48.542022950174385,437.04234316446855
1643,0,14917.157480924669,0,0,494.45690359859043,50.10744233629782,444.3494612622926
1644,0,15369.079741565642,0,0,503.6235781116072,51.70131747063414,451.92226064097304
1645,0,15828.837197027924,0,0,513.0819633230783,53.32450786079585,459.75745546228245
1646,0,16296.688672486138,0,0,522.8293403695013,54.9778649112875,467.8514754582138
1647,0,16772.889148170634,0,0,532.862706672971,56.662230988474676,476.20047568449627
1648,0,17257.6894944106,0,0,543.1787847513194,58.378438511354716,484.8003462399647
1649,0,17751.336217112075,0,0,553.7740317692907,60.12730906781428,493.6467227014764
1650,0,18254.072656995388,0,0,564.6460924445778,61.909652561265375,502.7364398833124
1651,0,18766.143093685754,0,0,575.7967119445932,63.72627525422672,512.0704366903665
1652,0,19287.793072163768,0,0,587.227979737795,65.57800125978144,521.6499784780135
1653,0,19819.26887659564,0,0,598.9414664735832,67.46566204170995,531.4758044318733
1654,0,20360.81702239017,0,0,610.938237934778,69.39009214025009,541.548145794528
1655,0,20912.683763738052,0,0,623.2188689764833,71.35212762859999,551.8667413478834
1656,0,21475.11461658101,0,0,635.7834574514119,73.3526046084545,562.4308528429574
1657,0,22048.353896957964,0,0,648.6316381222043,75.39235774524991,573.2392803769544
1658,0,22632.64427467643,0,0,661.7625965609859,77.4722188425203,584.2903777184656
1659,0,23228.22628078619,0,0,675.1750215660684,79.59301545630638,595.582006109762
1660,0,23835.333353920127,0,0,688.8626423052906,81.75556917135555,607.107073133935
1661,0,24454.184155367948,0,0,702.8114680464018,83.9606665985807,618.8508014478211
1662,0,25084.98208105263,0,0,717.006952759873,86.2090270751919,630.7979256846811
1663,0,25727.915498591847,0,0,731.4347403482292,88.50132280901141,642.9334175392178
1664,0,26383.157984431473,0,0,746.0806674531702,90.83818161354407,655.2424858396262
1665,0,27050.86856331976,0,0,760.9307662655948,93.22018737730752,667.7105788882873
1666,0,27731.191950112363,0,0,775.9712673385815,95.64788054597864,680.3233867926028
1667,0,28424.258793898473,0,0,791.188602403179,98.12175861706942,693.0668437861095
