time,TOT,AB,MFH,SFH,TH
1600,0.0,0.0,0.0,0.0,0.0
1601,2.5915773950682097,0.0,0.4480064650078117,1.2179295625660929,0.9256413674943051
1602,5.226159385860654,0.0,0.9001472532565719,2.445076397292268,1.8809357353118141
1603,7.911299976876807,0.0,1.3576218491379661,3.684622871547599,2.869055256191242
1604,10.646781814726559,0.0,1.8202782531734691,4.93607192218709,3.8904316393659992
1605,13.432388463860486,0.0,2.287966295488689,6.1989320578617075,4.945490110510089
1606,16.26790442531911,0.0,2.760537623690723,7.472717347180573,6.034649454447813
1607,19.153115155346804,0.0,3.2378456908531117,8.75694740683488,7.15832205765881
1608,22.087807083868046,0.0,3.7197457436074375,10.05114738968248,8.31691395057813
1609,25.071767632823597,0.0,4.206094810340811,11.354847972791893,9.510824849690893
1610,28.104785973867525,0.0,4.696751809244962,12.667585665901266,10.7404484987213
1611,31.186779924237506,0.0,5.191597928661678,13.988957265222838,12.006224730352985
1612,34.318064686883346,0.0,5.690578897722383,15.318732142213442,13.30875364694752
1613,37.499384969114544,0.0,6.1937082148144444,16.65685953730148,14.648817216998623
1614,40.731913223355825,0.0,6.701064890017005,18.003461156010367,16.027387177328457
1615,44.01724800970328,0.0,7.212791245361885,19.35882393093151,17.44563283340988
1616,47.357412374657095,0.0,7.729090755182429,20.72339290276186,18.904928716712796
1617,50.75485224630732,0.0,8.250225926094547,22.097764219939712,20.406862100273067
1618,54.21243484624491,0.0,8.776516216160685,23.48267825641501,21.95324037366921
1619,57.73344711846452,0.0,9.308335992793895,24.879012847092987,23.546098278577638
1620,61.32158699047908,0.0,9.846111448002917,26.28777380570084,25.18770173677532
1621,64.98073245803236,0.0,10.390284409902153,27.709998868160703,26.880449179969506
1622,68.71466967303148,0.0,10.941271378618529,29.14665018349892,28.62674811091404
1623,72.52707840067649,0.0,11.499461933367726,30.598610562360136,30.429005904948635
1624,76.42153252434254,0.0,12.06521940901415,32.066685688616076,32.2896274267123
1625,80.40150049971086,0.0,12.6388815550227,33.55160628392576,34.21101266076241
1626,84.47034580652556,0.0,13.22076118426344,35.05403024465173,36.195554377610385
1627,88.63132739790073,0.0,13.81114681178484,36.57454475123575,38.24563583488016
1628,92.88760014710495,0.0,14.410303283670174,38.11366835013684,40.36362851329794
1629,97.24221529174947,0.0,15.018472396089795,39.671853008434404,42.551889887225286
1630,101.69814288996062,0.0,15.635876578909281,41.249494016837986,44.81277229421336
1631,106.25854194017947,0.0,16.26275678172318,42.847027190004034,47.14875796845225
1632,110.92693985904477,0.0,16.899396482892964,44.46498947336085,49.56255390279093
1633,115.70723401774428,0.0,17.54612048962904,46.10401465739463,52.05709887072064
1634,120.60369048990391,0.0,18.203293375186284,47.76482818146795,54.635568933249665
1635,125.62094282660415,0.0,18.871317948326183,49.44824204193805,57.30138283633992
1636,130.76399084845687,0.0,19.55063375327807,51.155149800490435,60.05820729468836
1637,136.03819945492032,0.0,20.24171559987846,52.886521692312165,62.909962162729684
1638,141.449297451028,0.0,20.94507212357373,54.643399833728836,65.86082549372541
1639,147.0033763917018,0.0,21.66124437497619,56.42689352893339,68.91523848779224
1640,152.7068665551565,0.0,22.39080147460589,58.238167282934526,72.0778977976161
1641,158.56640006161095,0.0,23.13432190248328,60.078393222927545,75.3536849362001
1642,164.58876075872254,0.0,23.89238654090835,61.94873332147599,78.74764089633818
1643,170.7808839153116,0.0,24.665578275400595,63.85033808185894,82.26496755805206
1644,177.14985584879224,0.0,25.45448159687683,65.78434524035866,85.91102901155676
1645,183.7029135617935,0.0,26.259682214959195,67.7518785104758,89.6913528363585
1646,190.447444388254,0.0,27.081766682341886,69.75404636899358,93.61163133691855
1647,197.39098564903585,0.0,27.9213220301173,71.79194088373524,97.67772273518332
1648,204.5412243170992,0.0,28.77893541396354,73.86663658286082,101.89565232027483
1649,211.90599670321123,0.0,29.655193772420226,75.97918936875725,106.27161356203379
1650,219.49330944379187,0.0,30.550686050532992,78.1306416533123,110.81198173994657
1651,227.31140482843742,0.0,31.466010614390093,80.32203992462371,115.52335428942361
1652,235.36877267525654,0.0,32.40177606117149,82.5544361470466,120.41256046703843
1653,243.67414969087065,0.0,33.358600521094075,84.82888551242269,125.48666365735392
1654,252.23651888347473,0.0,34.33711098204632,87.1464442693239,130.7529636321045
1655,261.0651089901967,0.0,35.337942632024664,89.508167618553,136.218998739619
1656,270.1693939188228,0.0,36.36173821921765,91.9151076746606,141.8925480249445
1657,279.55909220395347,0.0,37.40914742958832,94.36831149324233,147.7816332811228
1658,289.2441664776508,0.0,38.480826281808056,96.86881916377955,153.8945210320632
1659,299.234821952785,0.0,39.57743642725083,99.4176617047178,160.23972382081638
1660,309.54143107260325,0.0,40.69963626849395,102.01583986634765,166.82595493776168
1661,320.17440807397463,0.0,41.848066893984345,104.66429124420767,173.66204993578268
1662,331.14419753845914,0.0,43.023351022875346,107.36388819210404,180.75695832347978
1663,342.4612746008046,0.0,44.226093264878514,110.1154388379587,188.1197424979674
1664,354.136145125779,0.0,45.4568803769647,112.91968809970885,195.75957664910547
1665,366.17934589002283,0.0,46.71628152107707,115.77731871097342,203.68574565797235
1666,378.60144476888956,0.0,48.004848522878525,118.68895225645107,211.90764398955997
1667,391.4130409282424,0.0,49.323116131555736,121.6551502170148,220.43477457967185
1668,404.62476502117613,0.0,50.67160228070278,124.67641502446975,229.27674771600368
1669,418.24727435619104,0.0,52.050807829000455,127.75318994896672,238.44327657822382
1670,432.2911483713306,0.0,53.46120607687977,130.8858360279701,247.94410626648076
