DSM,SFH,MFH,TH,AB
1837,0.050768395228934095,0.08428967196963541,0.8649419328014305,0.0
1838,0.05136681859323967,0.08447619152554284,0.8641569898812175,0.0
1839,0.05197985341306176,0.08467368437997214,0.8633464622069661,0.0
1840,0.052607509735698374,0.08488215709951183,0.8625103331647898,0.0
1841,0.05324979772450058,0.08510161633721587,0.8616485859382835,0.0
1842,0.0539067276591124,0.08533206883275224,0.8607612035081353,0.0
1843,0.05457830993570411,0.08557352141256626,0.8598481686517296,0.0
1844,0.05526455506719146,0.08582598099005238,0.8589094639427561,0.0
1845,0.05596547368349862,0.08608945456570737,0.857945071750794,0.0
1846,0.056681076531774205,0.08636394922730763,0.8569549742409182,0.0
1847,0.05741137447663983,0.08664947215007228,0.8559391533732879,0.0
1848,0.05815637850044289,0.0869460305968304,0.8548975909027268,0.0
1849,0.05891609970348657,0.08725363191820508,0.8538302683783083,0.0
1850,0.05969054930430276,0.08757228355277216,0.852737167142925,0.0
1851,0.06047973863988111,0.08790199302725304,0.8516182683328658,0.0
1852,0.06128367916593944,0.08824276795667638,0.8504735528773841,0.0
1853,0.0621023824571632,0.08859461604457221,0.8493030014982645,0.0
1854,0.06293586020749312,0.08895754508314337,0.8481065947093636,0.0
1855,0.06378412423034947,0.08933156295345045,0.8468843128162001,0.0
1856,0.06464718645893257,0.08971667762560406,0.8456361359154634,0.0
1857,0.0655250589464637,0.09011289715894104,0.8443620438945952,0.0
1858,0.06641775386646882,0.09052022970222771,0.8430620164313035,0.0
1859,0.0673252835130513,0.09093868349383658,0.8417360329931122,0.0
1860,0.06824766030114333,0.0913682668619423,0.8403840728369144,0.0
1861,0.06918489676682758,0.09180898822473463,0.8390061150084378,0.0
1862,0.07013700556757056,0.09226085609058371,0.8376021383418457,0.0
1863,0.07110399948253275,0.09272387905826632,0.836172121459201,0.0
1864,0.07208589141284899,0.09319806581715082,0.8347160427700002,0.0
1865,0.07308269438190919,0.09368342514740076,0.83323388047069,0.0
1866,0.07409442153565308,0.09417996592019619,0.8317256125441508,0.0
1867,0.07512108614286624,0.09468769709791315,0.8301912167592206,0.0
1868,0.07616270159547432,0.09520662773435407,0.8286306706701716,0.0
1869,0.07721928140883566,0.0957367669749465,0.8270439516162178,0.0
1870,0.07829083922204734,0.09627812405696269,0.8254310367209899,0.0
1871,0.07937738879825351,0.09683070830972908,0.8237919028920174,0.0
1872,0.08047894402493976,0.09739452915483719,0.822126526820223,0.0
1873,0.08159551891425201,0.09796959610638929,0.8204348849793587,0.0
1874,0.08272712760331445,0.0985559187711686,0.818716953625517,0.0
1875,0.0838737843545136,0.09915350684892259,0.8169727087965638,0.0
1876,0.08503550355586531,0.09976237013253807,0.8152021263115966,0.0
1877,0.08621229972128794,0.10038251850828464,0.8134051817704274,0.0
1878,0.08740418749095134,0.10101396195606178,0.8115818505529868,0.0
1879,0.08861118163159751,0.10165671054959627,0.8097321078188062,0.0
1880,0.08983329703687,0.1023107744567,0.80785592850643,0.0
1881,0.0910705487276393,0.10297616393949224,0.8059532873328684,0.0
1882,0.09232295185234402,0.10365288935464285,0.8040241587930131,0.0
1883,0.09359052168732844,0.1043409611536152,0.8020685171590564,0.0
1884,0.09487327363717427,0.10504038988288868,0.8000863364799371,0.0
1885,0.09617122323505299,0.10575118618422528,0.7980775905807217,0.0
1886,0.09748438614307148,0.106473360794897,0.7960422530620316,0.0
1887,0.09881277815261076,0.10720692454794471,0.7939802972994445,0.0
1888,0.10015641518468643,0.1079518883724292,0.7918916964428844,0.0
1889,0.10151531329030779,0.10870826329366313,0.789776423416029,0.0
1890,0.10288948865081997,0.10947606043349885,0.7876344509156812,0.0
1891,0.10427895757828198,0.11025529101054896,0.785465751411169,0.0
1892,0.10568373651581105,0.11104596634046814,0.7832702971437208,0.0
1893,0.10710384203797374,0.11184809783621331,0.781048060125813,0.0
1894,0.10853929085113331,0.11266169700828803,0.7787990121405787,0.0
1895,0.10999009979383365,0.11348677546502565,0.7765231247411407,0.0
1896,0.11145628583717755,0.11432334491285229,0.7742203692499702,0.0
1897,0.11293786608518655,0.11517141715655535,0.771890716758258,0.0
1898,0.11442779203357407,0.1160238398043953,0.7694866234998242,6.174466220643114e-05
1899,0.11591057931890034,0.11686511656452267,0.766907789922061,0.000316514194516061
1900,0.11740788581022388,0.11771733362962111,0.7643022399662798,0.0005725405938752392
1901,0.11891971150753483,0.11858049099968077,0.7616699736325,0.000829823860284414
1902,0.1204460564108414,0.11945458867470983,0.7590109909207059,0.0010883639937429004
1903,0.12198692052013661,0.12033962665470489,0.7563252918309069,0.0013481609942516165
1904,0.12354230383542511,0.12123560493966347,0.7536128763631014,0.0016092148618100965
1905,0.12511220635670062,0.12214252352959352,0.7508737445172875,0.0018715255964183491
1906,0.1266966280839738,0.1230603824244844,0.7481078962934654,0.002135093198076376
1907,0.1282955690172331,0.12398918162434586,0.7453153316916367,0.002399917666784382
1908,0.12990902915648703,0.12492892112916859,0.7424960507118025,0.0026659990025419493
1909,0.13153700850173103,0.12587960093896233,0.7396500533539572,0.0029333372053495033
1910,0.13317950705296608,0.1268412210537209,0.7367773396181062,0.0032019322752068436
1911,0.13483652481019742,0.1278137814734425,0.7338779095042461,0.0034717842121139253
1912,0.1365080617734127,0.12879728219813602,0.7309517630123804,0.003742893016070794
1913,0.13819411794262826,0.129791723227793,0.7279989001425011,0.0040152586870776325
1914,0.1398946933178288,0.13079710456241575,0.7250193208946214,0.00428888122513407
1915,0.14160978789902504,0.13181342620200456,0.7220130252687299,0.004563760630240444
1916,0.14333940168620932,0.1328406881465587,0.7189800132648354,0.0048398969023966286
1917,0.14508353467938678,0.1338788903960834,0.7159202848829275,0.005117290041602335
1918,0.1468421868785548,0.1349280329505689,0.7128338401230182,0.00539594004785804
1919,0.14861535828371697,0.13598811581002587,0.7097206789850934,0.005675846921163744
1920,0.15040304889486675,0.13705913897444422,0.70658080146917,0.005957010661519029
1921,0.1522052587120091,0.13814110244382902,0.7034142075752379,0.006239431268924031
1922,0.15402198773514558,0.13923400621818532,0.7002208973032901,0.006523108743379032
1923,0.1558532359642697,0.14033785029750293,0.6970008706533435,0.006808043084883837
1924,0.15769900339938986,0.14145263468179056,0.6937541276253812,0.007094234293438349
1925,0.1595592900404988,0.14257835937104055,0.690480668219418,0.007381682369042719
