cohort,TOT,AB,MFH,SFH,TH
1600,8.387120981064461,3.6403784949308378,5.001003353659372,16.931854935417665,10.427298190121938
1601,8.385643296309723,3.639595895568936,4.9986283245345415,16.931481733483363,10.425128489231692
1602,8.384195463772256,3.6388291062951525,4.99630127579607,16.931116070982082,10.423002620682666
1603,8.382777483452053,3.6380781271094875,4.99402220744396,16.93075794791382,10.420920584474853
1604,8.381389355349116,3.6373429580119434,4.99179111947821,16.93040736427857,10.418882380608261
1605,8.38003107946345,3.636623599002517,4.989608011898819,16.930064320076333,10.416888009082886
1606,8.378702655795049,3.6359200500812103,4.98747288470579,16.92972881530711,10.414937469898726
1607,8.377404084343915,3.635232311248024,4.98538573789912,16.929400849970907,10.413030763055785
1608,8.376135365110052,3.6345603825029555,4.983346571478811,16.929080424067728,10.411167888554063
1609,8.374896498093454,3.633904263846007,4.981355385444862,16.928767537597558,10.409348846393552
1610,8.373687483294123,3.633263955277178,4.979412179797273,16.928462190560403,10.407573636574263
1611,8.37250832071206,3.6326394567964666,4.977516954536045,16.92816438295627,10.40584225909619
1612,8.371359010347264,3.632030768403876,4.975669709661176,16.927874114785148,10.404154713959331
1613,8.370239552199735,3.631437890099405,4.973870445172668,16.927591386047038,10.402511001163692
1614,8.369149946269474,3.630860821883053,4.97211916107052,16.927316196741952,10.40091112070927
1615,8.368090192556481,3.6302995637548183,4.970415857354732,16.927048546869884,10.399355072596064
1616,8.367060291060755,3.629754115714704,4.9687605340253045,16.926788436430822,10.397842856824075
1617,8.366060241782298,3.62922447776271,4.967153191082237,16.926535865424785,10.396374473393305
1618,8.365090044721104,3.6287106498988346,4.96559382852553,16.926290833851755,10.39494992230375
1619,8.364149699877181,3.6282126321230783,4.9640824463551825,16.92605334171175,10.393569203555415
1620,8.363239207250524,3.6277304244354416,4.962619044571197,16.925823389004755,10.392232317148293
1621,8.362358566841136,3.627264026835924,4.961203623173571,16.92560097573078,10.390939263082391
1622,8.361507778649015,3.626813439324525,4.959836182162303,16.925386101889824,10.389690041357705
1623,8.360686842674161,3.6263786619012457,4.958516721537397,16.925178767481878,10.388484651974235
1624,8.359895758916576,3.6259596945660864,4.957245241298852,16.924978972506953,10.387323094931983
1625,8.359134527376254,3.6255565373190453,4.956021741446666,16.924786716965038,10.386205370230948
1626,8.358403148053203,3.6251691901601237,4.954846221980842,16.924602000856147,10.385131477871129
1627,8.357701620947417,3.6247976530893204,4.953718682901376,16.924424824180264,10.384101417852527
1628,8.357029946058901,3.624441926106639,4.952639124208271,16.92425518693741,10.383115190175145
1629,8.356388123387651,3.624102009212074,4.951607545901526,16.924093089127556,10.382172794838977
1630,8.35577615293367,3.6237779024056302,4.950623947981142,16.923938530750725,10.38127423184403
1631,8.355194034696956,3.623469605687305,4.949688330447118,16.92379151180691,10.380419501190298
1632,8.354641768677508,3.623177119057099,4.948800693299453,16.92365203229611,10.37960860287778
1633,8.354119354875326,3.6229004425150118,4.94796103653815,16.923520092218332,10.378841536906481
1634,8.353626793290413,3.6226395760610446,4.947169360163205,16.92339569157356,10.378118303276402
1635,8.35316408392277,3.622394519695196,4.9464256641746225,16.923278830361813,10.377438901987537
1636,8.352731226772391,3.6221652734174663,4.945729948572398,16.92316950858308,10.376803333039888
1637,8.352328221839281,3.6219518372278565,4.945082213356536,16.923067726237356,10.376211596433457
1638,8.35195506912344,3.6217542111263668,4.944482458527032,16.922973483324657,10.375663692168246
1639,8.351611768624863,3.621572395112995,4.94393068408389,16.922886779844973,10.375159620244249
1640,8.351298320343556,3.6214063891877433,4.943426890027109,16.922807615798305,10.374699380661472
1641,8.351014724279516,3.62125619335061,4.942971076356686,16.922735991184652,10.374282973419907
1642,8.350760980432742,3.6211218076015967,4.942563243072625,16.922671906004016,10.37391039851956
1643,8.350537088803236,3.621003231940702,4.942203390174924,16.922615360256394,10.373581655960436
1644,8.350343049390998,3.6209004663679276,4.941891517663581,16.922566353941786,10.373296745742524
1645,8.350178862196028,3.6208135108832713,4.941627625538601,16.9225248870602,10.373055667865831
1646,8.350044527218325,3.620742365486735,4.94141171379998,16.922490959611626,10.372858422330353
1647,8.349940044457888,3.620687030178317,4.941243782447718,16.92246457159607,10.372705009136094
1648,8.34986541391472,3.620647504958019,4.941123831481818,16.92244572301353,10.372595428283052
1649,8.349820635588818,3.62062378982584,4.941051860902277,16.922434413864003,10.372529679771226
1650,8.349805709480185,3.6206158847817806,4.941027870709098,16.922430644147497,10.372507763600618
1651,8.349820635588818,3.62062378982584,4.941051860902277,16.922434413864007,10.372529679771226
1652,8.34986541391472,3.62064750495802,4.941123831481819,16.92244572301353,10.372595428283052
1653,8.349940044457888,3.6206870301783174,4.941243782447719,16.922464571596073,10.372705009136096
1654,8.350044527218326,3.620742365486736,4.9414117137999805,16.92249095961163,10.372858422330355
1655,8.350178862196026,3.6208135108832713,4.9416276255386,16.9225248870602,10.373055667865831
1656,8.350343049390998,3.6209004663679267,4.941891517663581,16.922566353941786,10.373296745742524
1657,8.350537088803236,3.621003231940702,4.942203390174923,16.922615360256394,10.373581655960436
1658,8.350760980432742,3.6211218076015967,4.942563243072624,16.922671906004012,10.373910398519563
1659,8.351014724279516,3.62125619335061,4.942971076356685,16.922735991184652,10.374282973419907
1660,8.351298320343556,3.6214063891877433,4.943426890027109,16.922807615798305,10.37469938066147
1661,8.351611768624862,3.6215723951129943,4.94393068408389,16.922886779844973,10.375159620244247
1662,8.35195506912344,3.621754211126366,4.944482458527033,16.922973483324657,10.375663692168246
1663,8.352328221839281,3.621951837227857,4.945082213356536,16.92306772623736,10.376211596433459
1664,8.35273122677239,3.6221652734174663,4.945729948572398,16.923169508583076,10.376803333039888
1665,8.353164083922769,3.622394519695195,4.946425664174622,16.923278830361813,10.377438901987537
1666,8.353626793290413,3.6226395760610446,4.947169360163204,16.92339569157356,10.3781183032764
1667,8.354119354875326,3.6229004425150118,4.94796103653815,16.92352009221833,10.378841536906481
1668,8.354641768677507,3.6231771190570985,4.948800693299453,16.92365203229611,10.379608602877783
1669,8.355194034696956,3.623469605687305,4.949688330447117,16.92379151180691,10.380419501190298
1670,8.35577615293367,3.62377790240563,4.950623947981141,16.92393853075072,10.38127423184403
1671,8.356388123387651,3.624102009212075,4.951607545901527,16.924093089127553,10.38217279483898
1672,8.357029946058901,3.6244419261066385,4.952639124208271,16.9242551869374,10.383115190175145
1673,8.357701620947417,3.6247976530893204,4.953718682901376,16.92442482418026,10.384101417852527
1674,8.3584031480532,3.6251691901601233,4.954846221980841,16.924602000856144,10.385131477871129
1675,8.35913452737625,3.6255565373190444,4.956021741446665,16.924786716965034,10.386205370230947
1676,8.359895758916572,3.6259596945660855,4.9572452412988515,16.92497897250695,10.387323094931983
1677,8.360686842674161,3.6263786619012457,4.958516721537396,16.925178767481878,10.388484651974235
1678,8.361507778649015,3.6268134393245246,4.959836182162303,16.925386101889824,10.389690041357705
1679,8.362358566841136,3.6272640268359235,4.96120362317357,16.92560097573078,10.39093926308239
1680,8.363239207250526,3.6277304244354425,4.9626190445711975,16.92582338900476,10.392232317148293
1681,8.364149699877181,3.6282126321230783,4.9640824463551825,16.92605334171175,10.393569203555414
1682,8.365090044721104,3.6287106498988346,4.96559382852553,16.926290833851755,10.394949922303748
1683,8.366060241782295,3.6292244777627096,4.967153191082237,16.926535865424775,10.396374473393303
1684,8.367060291060753,3.629754115714705,4.968760534025304,16.926788436430822,10.397842856824074
1685,8.368090192556478,3.630299563754818,4.970415857354731,16.927048546869877,10.399355072596062
1686,8.369149946269474,3.630860821883051,4.97211916107052,16.927316196741952,10.40091112070927
1687,8.370239552199733,3.631437890099404,4.973870445172667,16.927591386047038,10.40251100116369
1688,8.371359010347263,3.632030768403876,4.975669709661176,16.927874114785148,10.404154713959333
1689,8.37250832071206,3.632639456796468,4.9775169545360445,16.92816438295627,10.40584225909619
1690,8.373687483294123,3.633263955277178,4.979412179797273,16.928462190560403,10.407573636574263
1691,8.37489649809345,3.6339042638460066,4.981355385444862,16.928767537597555,10.409348846393552
1692,8.376135365110049,3.634560382502955,4.98334657147881,16.929080424067724,10.41116788855406
1693,8.377404084343915,3.6352323112480236,4.9853857378991195,16.929400849970907,10.413030763055783
1694,8.378702655795049,3.6359200500812103,4.987472884705791,16.92972881530711,10.414937469898726
1695,8.38003107946345,3.636623599002517,4.98960801189882,16.930064320076333,10.416888009082887
1696,8.381389355349116,3.6373429580119425,4.991791119478209,16.930407364278565,10.418882380608261
1697,8.38277748345205,3.6380781271094875,4.99402220744396,16.930757947913815,10.420920584474855
1698,8.384195463772256,3.638829106295152,4.99630127579607,16.931116070982082,10.423002620682665
1699,8.385643296309723,3.639595895568936,4.9986283245345415,16.931481733483363,10.425128489231694
1700,8.387120981064461,3.6403784949308378,5.001003353659372,16.931854935417665,10.427298190121938
1701,8.388628518036464,3.6411769043808593,5.003426363170562,16.932235676784973,10.429511723353396
1702,8.39016590722574,3.641991123919001,5.005897353068114,16.932623957585307,10.431769088926078
1703,8.391733148632278,3.6428211535452615,5.0084163233520265,16.933019777818657,10.43407028683997
1704,8.393330242256086,3.6436669932596413,5.010983274022298,16.933423137485022,10.436415317095083
1705,8.394957188097159,3.6445286430621397,5.013598205078929,16.933834036584397,10.438804179691413
1706,8.396613986155502,3.645406102952758,5.016261116521922,16.934252475116793,10.441236874628961
1707,8.39830063643111,3.6462993729314954,5.018972008351275,16.934678453082203,10.443713401907724
1708,8.400017138923987,3.647208452998352,5.021730880566986,16.935111970480634,10.446233761527704
1709,8.401763493634132,3.6481333431533285,5.024537733169061,16.935553027312075,10.448797953488901
1710,8.403539700561543,3.6490740433964235,5.027392566157492,16.936001623576537,10.451405977791318
1711,8.405345759706222,3.650030553727637,5.030295379532285,16.936457759274013,10.454057834434948
1712,8.40718167106817,3.651002874146971,5.033246173293439,16.936921434404503,10.456753523419797
1713,8.409047434647384,3.651991004654424,5.036244947440953,16.93739264896801,10.459493044745864
1714,8.410943050443864,3.652994945249996,5.039291701974827,16.93787140296454,10.462276398413147
1715,8.412868518457612,3.6540146959336877,5.042386436895061,16.93835769639408,10.465103584421648
1716,8.414823838688628,3.655050256705498,5.045529152201656,16.938851529256635,10.467974602771365
1717,8.41680901113691,3.6561016275654277,5.04871984789461,16.939352901552205,10.470889453462298
1718,8.418824035802464,3.657168808513478,5.0519585239739255,16.939861813280796,10.473848136494452
1719,8.420868912685282,3.658251799549646,5.0552451804396,16.9403782644424,10.476850651867819
1720,8.422943641785366,3.659350600673933,5.058579817291636,16.94090225503702,10.479896999582403
1721,8.42504822310272,3.6604652118863394,5.06196243453003,16.941433785064657,10.482987179638204
1722,8.42718265663734,3.6615956331868658,5.065393032154786,16.941972854525314,10.486121192035226
1723,8.429346942389227,3.662741864575511,5.068871610165902,16.942519463418982,10.48929903677346
1724,8.431541080358384,3.6639039060522762,5.072398168563379,16.943073611745668,10.492520713852917
1725,8.433765070544808,3.6650817576171604,5.075972707347216,16.94363529950537,10.495786223273587
1726,8.436018912948496,3.6662754192701628,5.079595226517412,16.944204526698087,10.499095565035473
1727,8.438302607569456,3.667484891011285,5.083265726073969,16.94478129332382,10.502448739138579
1728,8.44061615440768,3.6687101728405263,5.086984206016884,16.945365599382573,10.5058457455829
1729,8.442959553463174,3.669951264757888,5.090750666346163,16.94595744487434,10.50928658436844
1730,8.445332804735934,3.671208166763367,5.0945651070618,16.94655682979912,10.512771255495194
1731,8.447735908225958,3.6724808788569665,5.098427528163797,16.947163754156918,10.516299758963164
1732,8.450168863933255,3.6737694010386845,5.102337929652156,16.947778217947732,10.519872094772358
1733,8.452631671857818,3.6750737333085226,5.106296311526873,16.948400221171564,10.523488262922765
1734,8.455124331999649,3.6763938756664802,5.1103026737879516,16.949029763828413,10.527148263414391
1735,8.457646844358743,3.6777298281125566,5.114357016435391,16.949666845918276,10.53085209624723
1736,8.46019920893511,3.679081590646752,5.118459339469189,16.950311467441157,10.53459976142129
1737,8.46278142572874,3.6804491632690666,5.122609642889349,16.95096362839705,10.538391258936565
1738,8.465393494739642,3.6818325459795007,5.126807926695867,16.95162332878596,10.542226588793056
1739,8.468035415967808,3.683231738778054,5.131054190888747,16.952290568607893,10.546105750990765
