,Population,Stock,PpD,Stock Change,Inflow,Outflow,Stock change
1600,0,,0,0,0.0,,
1601,0,317.2921664940486,0,0,317.2921664940486,0.0,317.2921664940486
1602,0,644.8160001354298,0,0,329.47343033955156,1.9495966981703532,327.5238336413812
1603,0,983.6620511044539,0,0,341.84846429574446,3.0024133267203865,338.8460509690241
1604,0,1333.981640491114,0,0,354.41559177065403,4.096002383994005,350.31958938666
1605,0,1695.9238084693575,0,0,367.17313835840025,5.230970380156691,361.94216797824356
1606,0,2069.6353229937504,0,0,380.1194318173665,6.407917292973593,373.7115145243929
1607,0,2455.2606885179066,0,0,393.25280204834877,7.627436524192547,385.6253655241562
1608,0,2852.9421547342545,0,0,406.5715810728171,8.89011485646921,397.68146621634787
1609,0,3262.819725334628,0,0,420.0741030112318,10.19653241085831,409.8775706003735
1610,0,3685.0312695586113,0,0,433.758806828853,11.547262604869672,422.2115442239833
1611,0,4119.7303955862935,0,0,447.6419987702336,12.942872742551344,434.69912602768227
1612,0,4567.125674653092,0,0,461.7793124983979,14.38403343159979,447.39527906679814
1613,0,5027.48809039827,0,0,476.23412121543754,15.871705470258917,460.3624157451786
1614,0,5501.153786565786,0,0,491.0727632095383,17.407067042023016,473.6656961675153
1615,0,5988.526779134276,0,0,506.36450112196235,18.99150855347216,487.3729925684902
1616,0,6490.0816185451895,0,0,522.1814812930365,20.62664188212284,501.5548394109137
1617,0,7006.366002224089,0,0,538.5986931857369,22.314309506837162,516.2843836788998
1618,0,7538.003337590039,0,0,555.6939288860707,24.0565935201206,531.6373353659501
1619,0,8085.695255747238,0,0,573.5477426789071,25.855824521708655,547.6919181571984
1620,0,8650.222951855918,0,0,592.2422865014512,27.714590392771015,564.5276961086802
1621,0,9232.41327301266,0,0,611.8260591992747,29.635738042532353,582.1903211567424
1622,0,9833.096263147372,0,0,632.305152261409,31.622162126697162,600.6829901347119
1623,0,10453.10197888154,0,0,653.6823636513666,33.67664791719949,620.0057157341671
1624,0,11093.259648056268,0,0,675.9596502574425,35.80198108271384,640.1576691747287
1625,0,11754.396832547074,0,0,699.1381369712617,38.00095248045545,661.1371844908062
1626,0,12437.33860282177,0,0,723.2181257459913,40.276355471295346,682.941770274696
1627,0,13142.906724200022,0,0,748.1991046346533,42.630983256401464,705.5681213782518
1628,0,13871.918854772859,0,0,774.0797568087132,45.067626235876105,729.0121305728371
1629,0,14625.187754940704,0,0,800.8579695571202,47.589069389275664,753.2689001678445
1630,0,15403.524317339778,0,0,828.5346520775594,50.19808967848542,778.336562399074
1631,0,16207.784031014291,0,0,857.1571905505117,52.89747687599822,804.2597136745135
1632,0,17038.89963340612,0,0,886.8059120981711,55.69030970634276,831.1156023918284
1633,0,17897.883528322614,0,0,917.5639106813164,58.58001576482138,858.983894916495
1634,0,18785.829679737973,0,0,949.5164391961512,61.570287780792114,887.946151415359
1635,0,19703.91546512349,0,0,982.7508741344024,64.66508874888643,918.0857853855159
1636,0,20653.403486714742,0,0,1017.3566802988045,67.86865870755184,949.4880215912526
1637,0,21635.643340880593,0,0,1053.4253755731786,71.18552140732731,982.2398541658513
1638,0,22652.073345758246,0,0,1091.0504957460669,74.62049086841375,1016.4300048776531
1639,0,23704.222227318296,0,0,1130.3275593870433,78.17867782699363,1052.1488815600496
1640,0,24793.706447379947,0,0,1171.349716131485,81.86549606983363,1089.4842200616513
1641,0,25922.20586130618,0,0,1214.1860560592718,85.68664213303737,1128.4994139262344
1642,0,27091.45494176667,0,0,1258.8970355045894,89.64795504409994,1169.2490804604895
1643,0,28303.243226376067,0,0,1305.543721845899,93.75543723650276,1211.7882846093962
1644,0,29559.415733895716,0,0,1354.1877923784577,98.01528485880954,1256.1725075196482
1645,0,30861.873362948492,0,0,1404.8915187510192,102.43388969824264,1302.4576290527766
1646,0,32212.573273363832,0,0,1457.7177514195937,107.01784100425357,1350.6999104153401
1647,0,33613.5292502256,0,0,1512.729904117926,111.7739272561605,1400.9559768617655
1648,0,35066.81205069474,0,0,1569.9919383438596,116.70913787471954,1453.28280046914
1649,0,36574.5497358842,0,0,1629.5683500671798,121.83066487772112,1507.7376851894587
1650,0,38138.932312011675,0,0,1691.5284806198563,127.1459044923779,1564.3825761274784
1651,0,39762.22557359959,0,0,1755.9557468760524,132.66248528813435,1623.293261587918
1652,0,41446.77437335477,0,0,1822.9371395690878,138.38833981391235,1684.5487997551754
1653,0,43195.003353470696,0,0,1892.5606635772215,144.33168346129378,1748.2289801159277
1654,0,45009.417656984115,0,0,1964.9153133489085,150.5010098354901,1814.4143035134184
1655,0,46892.60361151783,0,0,2040.0910483540522,156.90509382033838,1883.1859545337138
1656,0,48847.22938552109,0,0,2118.1787685608397,163.55299455757995,1954.6257740032597
1657,0,50876.04561711819,0,0,2199.270289937387,170.4540583402886,2028.8162315970985
1658,0,52981.886015676195,0,0,2283.4583199775884,177.6179214195804,2105.840398558008
1659,0,55167.66772035164,0,0,2370.8362174001677,185.0545127247251,2185.7817046754426
1660,0,57436.375617397935,0,0,2461.48195221657,192.77405517027273,2268.707897046297
1661,0,59791.03521763555,0,0,2555.4465693673405,200.78696912972327,2354.6596002376173
1662,0,62234.709707846276,0,0,2652.778244339527,209.1037541288033,2443.674490210724
1663,0,64770.49949433787,0,0,2753.524840050334,217.73505355874022,2535.789786491594
1664,0,67401.54173502712,0,0,2857.733901937068,226.69166124782123,2631.0422406892467
1665,0,70131.00986792485,0,0,2965.452653042235,235.98452014450368,2729.4681328977313
1666,0,72962.11313604517,0,0,3076.727989094093,245.62472097377167,2831.1032681203214
