,pre 1919,1919-1944,1945-1964,1965-1980,1981-1990,1991- 2003,2004-2013
SFH,639202.9399300506,589313.9299842906,775358.3629070208,1253461.3748872215,797184.8047582909,815893.1834879509,222421.83600818025
MFH,1020645.9951403412,326357.27339518035,618415.8524526507,989465.363924241,477063.6576063305,406387.5601831705,307648.89466552035
TH,3387255.9044423336,2921625.144948573,3145086.3353306237,2381160.8705361723,722351.2898396509,744177.7316909208,304530.8315439103
AB,14201.510554299339,22126.924609452002,85227.0586573401,195398.62228756023,12775.165364787472,21795.339485234937,50928.36431963006
